Image,Label,Sample,View,Z,fold
images\Sample2_5_z4.tif,labels\Sample2_5_z4.tif,2,5,4,2.0
images\Sample2_5_z5.tif,labels\Sample2_5_z5.tif,2,5,5,2.0
images\Sample2_5_z6.tif,labels\Sample2_5_z6.tif,2,5,6,2.0
images\Sample2_5_z7.tif,labels\Sample2_5_z7.tif,2,5,7,2.0
images\Sample2_5_z8.tif,labels\Sample2_5_z8.tif,2,5,8,2.0
images\Sample2_5_z9.tif,labels\Sample2_5_z9.tif,2,5,9,2.0
images\Sample3_4_z1.tif,labels\Sample3_4_z1.tif,3,4,1,3.0
images\Sample3_4_z10.tif,labels\Sample3_4_z10.tif,3,4,10,3.0
images\Sample3_4_z11.tif,labels\Sample3_4_z11.tif,3,4,11,3.0
images\Sample3_4_z2.tif,labels\Sample3_4_z2.tif,3,4,2,3.0
images\Sample3_4_z3.tif,labels\Sample3_4_z3.tif,3,4,3,3.0
images\Sample3_4_z4.tif,labels\Sample3_4_z4.tif,3,4,4,3.0
images\Sample3_4_z5.tif,labels\Sample3_4_z5.tif,3,4,5,3.0
images\Sample3_4_z6.tif,labels\Sample3_4_z6.tif,3,4,6,3.0
images\Sample3_4_z7.tif,labels\Sample3_4_z7.tif,3,4,7,3.0
images\Sample3_4_z8.tif,labels\Sample3_4_z8.tif,3,4,8,3.0
images\Sample3_4_z9.tif,labels\Sample3_4_z9.tif,3,4,9,3.0
images\Sample3_5_z1.tif,labels\Sample3_5_z1.tif,3,5,1,1.0
images\Sample3_5_z10.tif,labels\Sample3_5_z10.tif,3,5,10,1.0
images\Sample3_5_z11.tif,labels\Sample3_5_z11.tif,3,5,11,1.0
images\Sample3_5_z2.tif,labels\Sample3_5_z2.tif,3,5,2,1.0
images\Sample3_5_z3.tif,labels\Sample3_5_z3.tif,3,5,3,1.0
images\Sample3_5_z4.tif,labels\Sample3_5_z4.tif,3,5,4,1.0
images\Sample3_5_z5.tif,labels\Sample3_5_z5.tif,3,5,5,1.0
images\Sample3_5_z6.tif,labels\Sample3_5_z6.tif,3,5,6,1.0
images\Sample3_5_z7.tif,labels\Sample3_5_z7.tif,3,5,7,1.0
images\Sample3_5_z8.tif,labels\Sample3_5_z8.tif,3,5,8,1.0
images\Sample3_5_z9.tif,labels\Sample3_5_z9.tif,3,5,9,1.0
images\Sample5_2_z1.tif,labels\Sample5_2_z1.tif,5,2,1,0.0
images\Sample5_2_z2.tif,labels\Sample5_2_z2.tif,5,2,2,0.0
images\Sample5_2_z3.tif,labels\Sample5_2_z3.tif,5,2,3,0.0
images\Sample5_2_z4.tif,labels\Sample5_2_z4.tif,5,2,4,0.0
images\Sample5_4_z1.tif,labels\Sample5_4_z1.tif,5,4,1,0.0
images\Sample5_4_z2.tif,labels\Sample5_4_z2.tif,5,4,2,0.0
images\Sample5_4_z3.tif,labels\Sample5_4_z3.tif,5,4,3,0.0
images\Sample5_4_z4.tif,labels\Sample5_4_z4.tif,5,4,4,0.0
images\Sample5_4_z5.tif,labels\Sample5_4_z5.tif,5,4,5,0.0
images\Sample5_4_z6.tif,labels\Sample5_4_z6.tif,5,4,6,0.0
images\Sample5_4_z7.tif,labels\Sample5_4_z7.tif,5,4,7,0.0
images\Sample5_4_z8.tif,labels\Sample5_4_z8.tif,5,4,8,0.0
